time,open,high,low,close,tick_volume
2024-11-01 00:00:00,0.65768,0.65827,0.65696,0.65753,7488
2024-11-01 04:00:00,0.65752,0.65809,0.65612,0.65643,8986
2024-11-01 08:00:00,0.65643,0.65685,0.6555,0.65647,7582
2024-11-01 12:00:00,0.65646,0.65901,0.65586,0.65801,13254
2024-11-01 16:00:00,0.65818,0.65844,0.65602,0.65608,14963
2024-11-01 20:00:00,0.65606,0.65644,0.65525,0.65579,5478
2024-11-04 00:00:00,0.66085,0.66085,0.65837,0.66014,9775
2024-11-04 04:00:00,0.66014,0.66179,0.6597,0.66101,11486
2024-11-04 08:00:00,0.66101,0.6611,0.65829,0.65926,10757
2024-11-04 12:00:00,0.65926,0.66048,0.65859,0.65944,9271
2024-11-04 16:00:00,0.65943,0.66099,0.65785,0.65912,15853
2024-11-04 20:00:00,0.65913,0.65916,0.65815,0.65837,8167
2024-11-05 00:00:00,0.65765,0.65915,0.6576,0.65899,5838
2024-11-05 04:00:00,0.65899,0.65998,0.65829,0.65961,10388
2024-11-05 08:00:00,0.65958,0.66188,0.65949,0.66157,9103
2024-11-05 12:00:00,0.66158,0.66296,0.66143,0.66252,7722
2024-11-05 16:00:00,0.66251,0.66404,0.66226,0.66328,14447
2024-11-05 20:00:00,0.66329,0.66383,0.66307,0.66367,8007
2024-11-06 00:00:00,0.66288,0.66437,0.65784,0.65916,17685
2024-11-06 04:00:00,0.65912,0.65946,0.65111,0.65469,29801
2024-11-06 08:00:00,0.6547,0.65936,0.65194,0.65849,25128
2024-11-06 12:00:00,0.65848,0.65952,0.65501,0.65555,20783
2024-11-06 16:00:00,0.65556,0.65791,0.65464,0.65679,23880
2024-11-06 20:00:00,0.65679,0.65922,0.65627,0.65693,12915
2024-11-07 00:00:00,0.65638,0.65828,0.6563,0.65806,9167
2024-11-07 04:00:00,0.65806,0.66268,0.65806,0.6622,13536
2024-11-07 08:00:00,0.66219,0.66365,0.66157,0.66283,14723
2024-11-07 12:00:00,0.66283,0.66628,0.66236,0.66619,15559
2024-11-07 16:00:00,0.66619,0.66866,0.66564,0.66759,18387
2024-11-07 20:00:00,0.6676,0.66839,0.66517,0.66783,17626
2024-11-08 00:00:00,0.66693,0.66796,0.66552,0.66596,8541
2024-11-08 04:00:00,0.66596,0.66629,0.66441,0.66533,13150
2024-11-08 08:00:00,0.66532,0.66559,0.66213,0.66417,18347
2024-11-08 12:00:00,0.66419,0.66421,0.6604,0.66065,14950
2024-11-08 16:00:00,0.66066,0.66138,0.65571,0.65752,19802
2024-11-08 20:00:00,0.65751,0.65853,0.65665,0.65778,9309
2024-11-11 00:00:00,0.658,0.65971,0.65727,0.65891,9097
2024-11-11 04:00:00,0.65892,0.6596,0.65834,0.6589,9844
2024-11-11 08:00:00,0.65891,0.65941,0.65732,0.65819,13441
2024-11-11 12:00:00,0.65818,0.65886,0.65643,0.65709,11754
2024-11-11 16:00:00,0.6571,0.65799,0.65639,0.6567,13506
2024-11-11 20:00:00,0.65668,0.65739,0.65615,0.65731,7052
2024-11-12 00:00:00,0.65684,0.65806,0.65594,0.65658,8259
2024-11-12 04:00:00,0.65658,0.65658,0.65483,0.65494,12030
2024-11-12 08:00:00,0.65493,0.65567,0.65357,0.65419,13836
2024-11-12 12:00:00,0.6542,0.65557,0.65333,0.65497,12800
2024-11-12 16:00:00,0.65498,0.65499,0.65129,0.65154,20128
2024-11-12 20:00:00,0.65157,0.65386,0.6515,0.65319,9652
2024-11-13 00:00:00,0.65329,0.65365,0.65146,0.65357,8427
2024-11-13 04:00:00,0.65358,0.65384,0.65276,0.65318,9119
2024-11-13 08:00:00,0.65316,0.65344,0.65167,0.65311,11449
2024-11-13 12:00:00,0.65312,0.65447,0.65166,0.65301,14377
2024-11-13 16:00:00,0.653,0.65319,0.6479,0.64868,26730
2024-11-13 20:00:00,0.6487,0.64943,0.64796,0.64838,10122
2024-11-14 00:00:00,0.64815,0.64959,0.64803,0.6483,8933
2024-11-14 04:00:00,0.64831,0.64833,0.64586,0.64629,12201
2024-11-14 08:00:00,0.64628,0.64786,0.64607,0.64628,12775
2024-11-14 12:00:00,0.64624,0.64766,0.64517,0.64632,16154
2024-11-14 16:00:00,0.6463,0.64871,0.64625,0.64766,21093
2024-11-14 20:00:00,0.64769,0.64784,0.64394,0.64531,14648
2024-11-15 00:00:00,0.64441,0.64561,0.64441,0.64529,8023
2024-11-15 04:00:00,0.64527,0.64673,0.64527,0.64616,9874
2024-11-15 08:00:00,0.64616,0.64744,0.64534,0.64651,12074
2024-11-15 12:00:00,0.6465,0.64801,0.64564,0.64619,13359
2024-11-15 16:00:00,0.64618,0.64669,0.64417,0.64617,22650
2024-11-15 20:00:00,0.64618,0.64646,0.64491,0.64614,8174
2024-11-18 00:00:00,0.64575,0.64774,0.6455,0.64706,8814
2024-11-18 04:00:00,0.64707,0.64778,0.64608,0.64649,9143
2024-11-18 08:00:00,0.64648,0.64667,0.64491,0.64584,12128
2024-11-18 12:00:00,0.64582,0.64642,0.64468,0.64635,11966
2024-11-18 16:00:00,0.64636,0.65048,0.64615,0.65033,16129
2024-11-18 20:00:00,0.65034,0.65101,0.65014,0.65066,7553
2024-11-19 00:00:00,0.65017,0.65093,0.64948,0.65071,6700
2024-11-19 04:00:00,0.6507,0.65228,0.65016,0.65053,8681
2024-11-19 08:00:00,0.65054,0.65167,0.64811,0.64884,17151
2024-11-19 12:00:00,0.64883,0.65151,0.64873,0.65015,16735
2024-11-19 16:00:00,0.65014,0.65267,0.64962,0.65196,21022
2024-11-19 20:00:00,0.65195,0.65327,0.65132,0.65305,9061
2024-11-20 00:00:00,0.652,0.65432,0.65196,0.65344,7275
2024-11-20 04:00:00,0.65345,0.6537,0.65209,0.65216,7134
2024-11-20 08:00:00,0.65216,0.65307,0.65071,0.65104,12251
2024-11-20 12:00:00,0.65102,0.65132,0.64962,0.65015,11753
2024-11-20 16:00:00,0.65016,0.65024,0.64832,0.64972,15924
2024-11-20 20:00:00,0.64971,0.65053,0.64893,0.65047,8446
2024-11-21 00:00:00,0.64961,0.65175,0.64961,0.65138,5452
2024-11-21 04:00:00,0.65141,0.65226,0.65095,0.65101,7506
2024-11-21 08:00:00,0.65103,0.65207,0.6505,0.65081,14791
2024-11-21 12:00:00,0.6508,0.65286,0.6507,0.65247,14018
2024-11-21 16:00:00,0.65249,0.65312,0.6496,0.65156,22120
2024-11-21 20:00:00,0.65157,0.65192,0.65079,0.65096,8367
2024-11-22 00:00:00,0.65081,0.65203,0.65067,0.65147,6812
2024-11-22 04:00:00,0.65146,0.65187,0.64859,0.64883,11328
2024-11-22 08:00:00,0.64882,0.65174,0.647,0.6487,19268
2024-11-22 12:00:00,0.64871,0.65073,0.64806,0.65022,17473
2024-11-22 16:00:00,0.65021,0.65071,0.64806,0.65002,20571
2024-11-22 20:00:00,0.65003,0.65046,0.64932,0.65006,7205
2024-11-25 00:00:00,0.65326,0.65486,0.65224,0.65346,8938
2024-11-25 04:00:00,0.65346,0.65382,0.65153,0.6519,9546
2024-11-25 08:00:00,0.65189,0.65221,0.64971,0.65139,13193
2024-11-25 12:00:00,0.65139,0.65263,0.6496,0.65238,14502
2024-11-25 16:00:00,0.6524,0.65251,0.64862,0.64902,18187
2024-11-25 20:00:00,0.64903,0.65049,0.64898,0.65028,7508
2024-11-26 00:00:00,0.64979,0.65057,0.64326,0.64664,16563
2024-11-26 04:00:00,0.64664,0.6501,0.64633,0.64879,11465
2024-11-26 08:00:00,0.64879,0.64959,0.64728,0.64842,14597
2024-11-26 12:00:00,0.6484,0.65063,0.64806,0.64819,14721
2024-11-26 16:00:00,0.64822,0.64829,0.64495,0.64539,18275
2024-11-26 20:00:00,0.64539,0.64746,0.64466,0.64733,9520
2024-11-27 00:00:00,0.64658,0.64838,0.64573,0.64713,9966
2024-11-27 04:00:00,0.64712,0.6482,0.64636,0.64714,9699
2024-11-27 08:00:00,0.64715,0.64996,0.64714,0.64859,15159
2024-11-27 12:00:00,0.64859,0.64955,0.6472,0.64949,14821
2024-11-27 16:00:00,0.64951,0.64985,0.64783,0.64928,21271
2024-11-27 20:00:00,0.64928,0.64986,0.64909,0.64952,8374
2024-11-28 00:00:00,0.64864,0.65082,0.64841,0.65029,7610
2024-11-28 04:00:00,0.65029,0.65059,0.64828,0.64878,9026
2024-11-28 08:00:00,0.64877,0.64991,0.64761,0.64959,13633
2024-11-28 12:00:00,0.64959,0.65043,0.64915,0.64991,10128
2024-11-28 16:00:00,0.64992,0.65031,0.64891,0.65011,8627
2024-11-28 20:00:00,0.65012,0.6502,0.6497,0.64972,941
2024-11-29 00:00:00,0.64867,0.65144,0.64812,0.65063,8147
2024-11-29 04:00:00,0.65061,0.65224,0.65016,0.65138,10569
2024-11-29 08:00:00,0.65137,0.65269,0.6501,0.65069,13244
2024-11-29 12:00:00,0.65068,0.65097,0.64955,0.65028,13471
2024-11-29 16:00:00,0.65029,0.65208,0.64946,0.65206,17384
2024-11-29 20:00:00,0.65206,0.65252,0.65061,0.65087,6361
2024-12-02 00:00:00,0.65085,0.65126,0.64913,0.65011,8981
2024-12-02 04:00:00,0.6501,0.65021,0.64893,0.64971,11663
2024-12-02 08:00:00,0.64971,0.65098,0.64873,0.64931,16040
2024-12-02 12:00:00,0.64932,0.64981,0.64661,0.64688,13772
