time,open,high,low,close,tick_volume
2024-11-01 00:00:00,152.022,152.078,152.004,152.03,258
2024-11-01 00:15:00,152.029,152.1,152.006,152.08,590
2024-11-01 00:30:00,152.079,152.125,152.07,152.095,283
2024-11-01 00:45:00,152.095,152.118,152.008,152.049,369
2024-11-01 01:00:00,152.048,152.05,151.788,151.843,1004
2024-11-01 01:15:00,151.843,151.978,151.839,151.961,781
2024-11-01 01:30:00,151.962,151.971,151.777,151.85,1055
2024-11-01 01:45:00,151.85,151.97,151.776,151.967,1650
2024-11-01 02:00:00,151.968,152.129,151.91,152.061,2395
2024-11-01 02:15:00,152.058,152.158,151.969,152.055,1549
2024-11-01 02:30:00,152.055,152.125,152.008,152.029,1343
2024-11-01 02:45:00,152.029,152.051,151.861,152.022,2465
2024-11-01 03:00:00,152.025,152.082,151.953,151.979,2047
2024-11-01 03:15:00,151.978,152.077,151.913,152.064,1518
2024-11-01 03:30:00,152.065,152.279,152.055,152.257,1725
2024-11-01 03:45:00,152.251,152.266,152.103,152.108,1585
2024-11-01 04:00:00,152.105,152.245,152.1,152.177,1464
2024-11-01 04:15:00,152.176,152.281,152.14,152.193,1656
2024-11-01 04:30:00,152.194,152.321,152.191,152.291,1164
2024-11-01 04:45:00,152.291,152.343,152.261,152.291,935
2024-11-01 05:00:00,152.293,152.322,152.234,152.31,887
2024-11-01 05:15:00,152.311,152.371,152.286,152.371,812
2024-11-01 05:30:00,152.371,152.396,152.306,152.327,1584
2024-11-01 05:45:00,152.326,152.411,152.326,152.404,1039
2024-11-01 06:00:00,152.41,152.486,152.41,152.483,1174
2024-11-01 06:15:00,152.481,152.528,152.452,152.458,1101
2024-11-01 06:30:00,152.457,152.483,152.442,152.45,520
2024-11-01 06:45:00,152.449,152.504,152.419,152.473,634
2024-11-01 07:00:00,152.47,152.523,152.405,152.414,1188
2024-11-01 07:15:00,152.413,152.577,152.396,152.546,1386
2024-11-01 07:30:00,152.547,152.607,152.519,152.585,1203
2024-11-01 07:45:00,152.585,152.643,152.53,152.532,1717
2024-11-01 08:00:00,152.532,152.558,152.456,152.484,1411
2024-11-01 08:15:00,152.491,152.532,152.432,152.476,1104
2024-11-01 08:30:00,152.477,152.529,152.435,152.459,1013
2024-11-01 08:45:00,152.463,152.474,152.321,152.384,1047
2024-11-01 09:00:00,152.382,152.431,152.302,152.337,1277
2024-11-01 09:15:00,152.337,152.374,152.292,152.3,1181
2024-11-01 09:30:00,152.303,152.41,152.19,152.41,2024
2024-11-01 09:45:00,152.41,152.567,152.4,152.534,1946
2024-11-01 10:00:00,152.533,152.68,152.523,152.617,2384
2024-11-01 10:15:00,152.618,152.667,152.511,152.64,1954
2024-11-01 10:30:00,152.637,152.662,152.584,152.643,1479
2024-11-01 10:45:00,152.642,152.675,152.571,152.635,1527
2024-11-01 11:00:00,152.63,152.656,152.548,152.56,1650
2024-11-01 11:15:00,152.56,152.821,152.552,152.8,1506
2024-11-01 11:30:00,152.797,152.799,152.697,152.761,1485
2024-11-01 11:45:00,152.762,152.788,152.747,152.762,1326
2024-11-01 12:00:00,152.761,152.835,152.749,152.81,1084
2024-11-01 12:15:00,152.812,152.833,152.723,152.777,1367
2024-11-01 12:30:00,152.778,152.8,152.693,152.718,994
2024-11-01 12:45:00,152.717,152.741,152.656,152.658,1096
2024-11-01 13:00:00,152.656,152.672,152.577,152.632,1411
2024-11-01 13:15:00,152.633,152.756,152.599,152.745,929
2024-11-01 13:30:00,152.745,152.787,152.705,152.709,1234
2024-11-01 13:45:00,152.709,152.721,152.647,152.662,1275
2024-11-01 14:00:00,152.66,152.74,152.619,152.739,1237
2024-11-01 14:15:00,152.736,152.819,152.56,152.577,1990
2024-11-01 14:30:00,152.578,152.608,151.81,151.911,5116
2024-11-01 14:45:00,151.911,152.057,151.777,152.023,3515
2024-11-01 15:00:00,152.016,152.219,151.957,152.018,3460
2024-11-01 15:15:00,152.015,152.333,151.997,152.242,3113
2024-11-01 15:30:00,152.241,152.28,152.114,152.133,3161
2024-11-01 15:45:00,152.141,152.478,152.109,152.371,2910
2024-11-01 16:00:00,152.362,152.77,152.267,152.68,3731
2024-11-01 16:15:00,152.684,152.878,152.667,152.691,3462
2024-11-01 16:30:00,152.694,152.927,152.678,152.85,2964
2024-11-01 16:45:00,152.85,152.948,152.782,152.887,3027
2024-11-01 17:00:00,152.886,153.059,152.862,152.925,2770
2024-11-01 17:15:00,152.925,152.94,152.808,152.81,2083
2024-11-01 17:30:00,152.812,152.902,152.79,152.9,1697
2024-11-01 17:45:00,152.901,152.982,152.901,152.932,2481
2024-11-01 18:00:00,152.937,152.962,152.885,152.921,1576
2024-11-01 18:15:00,152.92,152.945,152.854,152.93,1161
2024-11-01 18:30:00,152.931,153.034,152.93,152.96,1364
2024-11-01 18:45:00,152.961,152.961,152.818,152.88,1478
2024-11-01 19:00:00,152.88,152.938,152.848,152.895,1310
2024-11-01 19:15:00,152.896,152.957,152.889,152.916,1404
2024-11-01 19:30:00,152.916,153.056,152.901,153.038,1570
2024-11-01 19:45:00,153.039,153.039,152.851,152.899,1567
2024-11-01 20:00:00,152.899,152.939,152.874,152.923,1026
2024-11-01 20:15:00,152.923,152.928,152.84,152.862,1233
2024-11-01 20:30:00,152.862,152.902,152.851,152.893,1181
2024-11-01 20:45:00,152.892,152.949,152.892,152.948,738
2024-11-01 21:00:00,152.949,153.006,152.937,152.988,918
2024-11-01 21:15:00,152.989,152.994,152.948,152.948,1138
2024-11-01 21:30:00,152.948,153.011,152.929,152.992,1245
2024-11-01 21:45:00,152.992,152.999,152.926,152.957,1428
2024-11-01 22:00:00,152.953,153.08,152.932,153.068,685
2024-11-01 22:15:00,153.068,153.079,152.988,153.006,606
2024-11-01 22:30:00,153.006,153.02,152.965,152.98,575
2024-11-01 22:45:00,152.98,152.993,152.85,152.868,757
2024-11-04 00:00:00,152.266,152.402,152.26,152.365,192
2024-11-04 00:15:00,152.366,152.54,152.362,152.454,237
2024-11-04 00:30:00,152.454,152.454,152.344,152.413,289
2024-11-04 00:45:00,152.41,152.429,152.399,152.408,155
2024-11-04 01:00:00,152.41,152.465,152.224,152.348,1455
2024-11-04 01:15:00,152.349,152.449,152.341,152.382,1206
2024-11-04 01:30:00,152.384,152.389,152.234,152.256,915
2024-11-04 01:45:00,152.255,152.322,152.168,152.28,943
2024-11-04 02:00:00,152.279,152.279,152.136,152.216,1220
2024-11-04 02:15:00,152.215,152.226,152.035,152.067,1116
2024-11-04 02:30:00,152.069,152.174,152.067,152.143,1174
2024-11-04 02:45:00,152.143,152.145,151.994,152.064,1317
2024-11-04 03:00:00,152.064,152.073,151.921,152.026,1435
2024-11-04 03:15:00,152.024,152.06,151.848,151.88,1612
2024-11-04 03:30:00,151.878,151.94,151.811,151.872,2210
2024-11-04 03:45:00,151.877,151.88,151.694,151.779,1878
2024-11-04 04:00:00,151.777,151.859,151.763,151.816,1732
2024-11-04 04:15:00,151.816,151.951,151.814,151.868,1325
2024-11-04 04:30:00,151.869,151.955,151.867,151.881,1225
2024-11-04 04:45:00,151.881,151.906,151.773,151.802,1453
2024-11-04 05:00:00,151.801,151.801,151.6,151.626,1640
2024-11-04 05:15:00,151.627,151.713,151.585,151.676,1432
2024-11-04 05:30:00,151.677,151.696,151.587,151.661,875
2024-11-04 05:45:00,151.662,151.756,151.634,151.726,1085
2024-11-04 06:00:00,151.727,151.773,151.688,151.773,1262
2024-11-04 06:15:00,151.773,151.785,151.725,151.757,851
2024-11-04 06:30:00,151.756,151.788,151.691,151.704,785
2024-11-04 06:45:00,151.704,151.846,151.678,151.807,860
2024-11-04 07:00:00,151.808,151.931,151.804,151.907,1392
2024-11-04 07:15:00,151.907,151.95,151.885,151.899,1104
2024-11-04 07:30:00,151.898,151.919,151.835,151.855,1202
2024-11-04 07:45:00,151.857,151.919,151.808,151.839,1238
2024-11-04 08:00:00,151.84,151.908,151.786,151.887,1544
2024-11-04 08:15:00,151.888,151.96,151.838,151.88,1357
2024-11-04 08:30:00,151.879,152.044,151.877,152.03,1609
2024-11-04 08:45:00,152.029,152.146,152.029,152.135,1267
2024-11-04 09:00:00,152.136,152.215,152.075,152.19,1592
2024-11-04 09:15:00,152.19,152.239,152.149,152.218,1478
2024-11-04 09:30:00,152.218,152.265,152.115,152.144,1485
2024-11-04 09:45:00,152.143,152.238,152.128,152.165,1562
2024-11-04 10:00:00,152.17,152.215,152.034,152.1,2125
2024-11-04 10:15:00,152.101,152.141,151.971,151.992,1567
2024-11-04 10:30:00,151.991,152.073,151.958,152.019,1837
2024-11-04 10:45:00,152.018,152.096,151.957,152.076,2109
2024-11-04 11:00:00,152.078,152.136,152.011,152.107,1727
2024-11-04 11:15:00,152.107,152.107,151.895,151.902,1590
2024-11-04 11:30:00,151.902,151.92,151.81,151.83,1232
2024-11-04 11:45:00,151.829,151.925,151.79,151.872,1331
2024-11-04 12:00:00,151.871,151.973,151.862,151.969,1214
2024-11-04 12:15:00,151.965,151.997,151.901,151.902,1296
2024-11-04 12:30:00,151.9,151.907,151.772,151.776,1041
2024-11-04 12:45:00,151.776,151.838,151.741,151.798,1101
2024-11-04 13:00:00,151.798,151.806,151.675,151.715,1079
2024-11-04 13:15:00,151.715,151.749,151.665,151.704,1158
2024-11-04 13:30:00,151.704,151.726,151.576,151.59,1230
2024-11-04 13:45:00,151.589,151.64,151.521,151.537,1147
2024-11-04 14:00:00,151.539,151.72,151.532,151.684,1145
2024-11-04 14:15:00,151.685,151.748,151.614,151.62,978
2024-11-04 14:30:00,151.62,151.78,151.607,151.777,861
2024-11-04 14:45:00,151.778,151.812,151.737,151.796,1113
2024-11-04 15:00:00,151.797,151.841,151.717,151.812,1684
