symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,pnl_pips,exit_reason,partial_taken,htf_bias
GBPUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-08 16:15:00+00:00,2024-11-08 19:25:00+00:00,1.29424,1.28914,1.3001451,1.2794772500000002,51.000000000001044,GIVEBACK_GUARD,False,SELL
GBPUSD,CHOCH,SELL,NY_OPEN,2024-11-12 15:45:00+00:00,2024-11-12 16:35:00+00:00,1.28088,1.2792,1.28560608,1.2690648000000002,16.80000000000126,GIVEBACK_GUARD,False,SELL
GBPUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-12 16:35:00+00:00,2024-11-12 18:10:00+00:00,1.27901,1.27567,1.28560608,1.2625198,33.39999999999898,GIVEBACK_GUARD,False,SELL
GBPUSD,CHOCH,SELL,LONDON_OPEN,2024-11-13 07:00:00+00:00,2024-11-13 17:10:00+00:00,1.27404,1.27005,1.2721046400000002,1.2643632000000005,39.184319999999936,GIVEBACK_GUARD,True,SELL
GBPUSD,CHOCH,BUY,NY_OPEN,2024-11-15 14:30:00+00:00,2024-11-15 17:20:00+00:00,1.2668,1.26224046,1.26224046,1.2781988499999999,-45.59540000000028,SL_HIT,False,SELL
GBPUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_CLOSE,2024-11-19 16:45:00+00:00,2024-11-19 17:10:00+00:00,1.26476,1.26409,1.2641050000000003,1.256781575,10.540000000000216,GIVEBACK_GUARD,True,NEUTRAL
GBPUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_OPEN,2024-11-20 09:00:00+00:00,2024-11-20 11:30:00+00:00,1.27042,1.26685,1.26685,1.283092875,-35.70000000000073,SL_HIT,False,BUY
GBPUSD,CHOCH,SELL,LONDON_OPEN,2024-11-21 07:50:00+00:00,2024-11-21 08:15:00+00:00,1.26495,1.2654699999999999,1.2654699999999999,1.2559854000000001,-5.199999999998539,SL_HIT,False,NEUTRAL
GBPUSD,CHOCH,BUY,LONDON_CLOSE,2024-11-21 17:00:00+00:00,2024-11-21 18:15:00+00:00,1.26456,1.26036422,1.26036422,1.2750494499999996,-41.95779999999871,SL_HIT,False,SELL
GBPUSD,CHOCH,SELL,LONDON_OPEN,2024-11-25 07:15:00+00:00,2024-11-25 10:25:00+00:00,1.2591,1.25573,1.26309114,1.2491221500000003,33.70000000000095,GIVEBACK_GUARD,False,SELL
GBPUSD,CHOCH,BUY,LONDON_OPEN,2024-11-26 06:45:00+00:00,2024-11-26 12:55:00+00:00,1.25511,1.25882,1.24806886,1.2727128499999996,37.10000000000102,GIVEBACK_GUARD,False,SELL
GBPUSD,CHOCH,BUY,LONDON_OPEN,2024-11-27 07:15:00+00:00,2024-11-27 09:25:00+00:00,1.25687,1.25861,1.2541866,1.2635785,17.400000000000748,GIVEBACK_GUARD,False,NEUTRAL
GBPUSD,CHOCH,BUY,NY_OPEN,2024-11-28 13:30:00+00:00,2024-11-29 01:35:00+00:00,1.26666,1.26895,1.26186122,1.2786569499999998,22.900000000001253,GIVEBACK_GUARD,False,BUY
